order_id,fecha,region,ciudad,categoria,producto,cantidad,precio_unitario,descuento,ventas,ganancia
1355,2025-01-01,Oriente,Tena,Muebles,Silla,2,60,0.3,84.0,5.88
1151,2025-01-05,Oriente,Puyo,Muebles,Archivador,2,110,0,220,55.0
1168,2025-01-06,Costa,Manta,Muebles,Archivador,3,110,0.1,297.0,56.43
1114,2025-01-07,Oriente,Tena,Tecnologia,Teclado,12,45,0.1,486.0,43.74
1363,2025-01-08,Costa,Guayaquil,Muebles,Escritorio,,150,0.1,,
1218,2025-01-09,Sierra,Ambato,Tecnologia,Mouse,23,20,0.2,368.0,11.04
1249,2025-01-10,Sierra,Cuenca,Muebles,Silla,5,60,0.25,225.0,22.5
1143,2025-01-11,Oriente,Tena,Tecnologia,Mouse,27,20,0.05,513.0,61.56
1018,2025-01-14,Costa,Guayaquil,Muebles,Archivador,3,110,0.1,297.0,56.43
1086,2025-01-15,Costa,Manta,Tecnologia,Impresora,1,150,0.2,120.0,3.6
1160,2025-01-16,Oriente,Puyo,Muebles,Silla,3,60,0,180,45.0
1112,2025-01-18,Oriente,Tena,Muebles,Estanteria,4,90,0.3,252.0,17.64
1154,2025-01-21,Costa,Machala,Tecnologia,Laptop,4,800,0.1,2880.0,259.2
1266,2025-01-21,Oriente,Puyo,Tecnologia,Laptop,1,800,0,800,120.0
1077,2025-01-21,Costa,Manta,Oficina,Marcadores,10,6,0,60,24.0
1255,2025-01-21,Costa,Manta,Oficina,Boligrafos,10,3,0.05,28.5,10.54
1066,2025-01-21,Oriente,Tena,Muebles,Estanteria,1,90,0,90,22.5
1185,2025-01-21,Oriente,Puyo,Oficina,Marcadores,37,6,0.1,199.8,67.93
1339,2025-01-25,Oriente,Puyo,Muebles,Archivador,4,110,0,440,110.0
1178,2025-01-26,Costa,Machala,Oficina,Cuaderno,15,4,0,60,24.0
1225,2025-01-26,Oriente,Puyo,Oficina,Marcadores,35,6,0.25,157.5,39.38
1253,2025-01-27,Oriente,Tena,Muebles,Estanteria,2,90,0,180,45.0
1222,2025-01-28,Oriente,Tena,Muebles,Silla,8,60,0.2,384.0,49.92
1326,2025-02-04,Oriente,Puyo,Oficina,Boligrafos,7,3,0.3,14.7,3.23
